Unnamed: 0,word,root word,root language,second language,ranked languages
35,out,out,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Sanskrit;Old Irish;Latin;Greek;Russian
36,by,by,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
37,up,up,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Old Norse;Dutch;German;Sanskrit;Greek;Latin
38,n't,,,,
39,little,little,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German
40,one,one,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Greek;Latin;Slavonic;Old Irish;French
41,what,what,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Latin
42,we,we,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic
43,which,which,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
44,there,there,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Middle Dutch;Dutch;Old Norse;Sanskrit
45,is,is,Old English,Germanic,Old English;Germanic;German;Old Norse;Sanskrit;Greek;Latin;Slavonic
46,an,an,Old English,French,Old English;French;German
47,then,then,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;German
48,me,me,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin;Old Irish;Welsh;Slavonic
49,my,,,,
50,have,have,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;German;Latin;American English
51,so,so,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Old Frisian;Greek
52,them,them,Old Norse,Old English,Old Norse;Old English
53,no,no,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
54,gabriel,gabriel,Arabic,,Arabic
55,did,did,Old English,Germanic,Old English;Germanic
56,could,could,Old English,,Old English
57,or,or,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;Old Norse;German
58,who,who,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh
59,their,their,Old Norse,Old English,Old Norse;Old English
60,into,into,Old English,American English,Old English;American English
61,been,,,,
62,old,old,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Old Irish;French
63,do,do,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German
64,down,down,Old English,American English,Old English;American English
65,if,if,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Dutch
66,some,some,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;American English
67,very,very,Old French,Latin,Old French;Latin;Italian;Old English;Old Dutch;German;Welsh;Old Irish;Slavonic;Russian
68,like,like,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Latin;Norse
69,now,now,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;Old Frisian;German;Sanskrit;Greek;Latin;Slavonic;Old Irish
70,about,about,Old English,American English,Old English;American English
71,asked,ask,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Slavonic
72,aunt,aunt,Old French,Latin,Old French;Latin;Greek;Old Norse;Irish;Arabic;American English;Dutch;German;Germanic;Old English
73,this,this,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
74,mrs,,,,
75,two,two,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German;Sanskrit;Greek;Latin;Slavonic
76,after,after,Old English,Old Norse,Old English;Old Norse;German;Greek
77,again,again,Old English,Old Norse,Old English;Old Norse;Old Frisian;German
78,time,,,,
79,well,well,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic;Welsh;Latin
80,went,,,,
81,young,young,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh
82,know,know,Old English,Germanic,Old English;Germanic;German;Slavonic;Russian;Latin;Greek;Sanskrit;French
83,face,,,,
84,over,over,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
85,good,good,Old English,,Old English
86,came,,,,
87,before,before,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German
88,began,,,,
89,miss,miss,Old English,,Old English
90,eyes,eye,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Greek;Slavonic;Latin
91,go,go,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Greek;American English;French
92,o,,,,
93,back,back,English,,English
94,head,head,Old English,,Old English
95,made,made,Old English,American English,Old English;American English
96,room,room,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;German;Dutch;Latin;Old Irish;Slavonic;Russian
97,street,street,Old English,Latin,Old English;Latin;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Spanish;Old French;Italian
98,see,see,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Frisian;Middle Dutch;Dutch;Old Norse;Greek;Latin
99,life,life,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German
100,stood,,,,
101,how,how,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
102,come,come,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin
103,himself,himself,Old English,,Old English
104,house,house,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German
105,ll,,,,
106,too,too,Old English,German,Old English;German
107,kate,,,,
108,us,us,Old English,Old Saxon,Old English;Old Saxon;Old Frisian;Old Norse;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Old Irish;Welsh;Germanic
109,night,night,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Frisian;Dutch;Old Norse;Greek;Latin;Old Irish;Sanskrit;Slavonic;Russian;Welsh
110,right,right,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh
111,where,where,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Latin
112,kernan,,,,
113,say,say,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Slavonic;Old Irish;American English
114,while,while,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;Latin;Slavonic
115,other,other,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin
116,men,,,,
117,never,never,Old English,Italian,Old English;Italian;French;Spanish;Latin;American English
118,voice,,,,
119,only,only,Old English,German,Old English;German;Latin;Greek
120,seemed,seem,Old Norse,Germanic,Old Norse;Germanic;Old English
121,hand,hand,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse
122,think,think,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Old Norse
123,are,are,Old English,Old Norse,Old English;Old Norse
124,few,few,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;Latin;Greek;Sanskrit;Slavonic
125,great,great,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;French;Latin
126,looked,look,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German
127,mary,mary,Old English,Latin,Old English;Latin;Greek
128,first,first,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Old Frisian;Middle Dutch;Dutch
129,here,here,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;German
130,took,took,Old English,,Old English
131,upon,upon,Old English,Old Norse,Old English;Old Norse
132,table,,,,
133,get,get,Old Norse,Germanic,Old Norse;Germanic;Greek;Latin;Welsh;Slavonic;Old English;Dutch
134,long,long,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Old Norse;Middle Dutch;Dutch;Latin;Sanskrit;Greek;American English
135,something,something,Old English,,Old English
136,still,still,Old English,Germanic,Old English;Germanic;Old Frisian;German;Middle Dutch;Dutch
137,way,way,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;Old Norse;Old Frisian;German
138,towards,towards,Old English,,Old English
139,cunningham,,,,
140,felt,,,,
141,our,our,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Latin
142,any,any,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German
143,every,every,Old English,,Old English
144,knew,knew,Old English,,Old English
145,door,door,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Greek;Latin;Sanskrit;Russian
146,father,,,,
147,gallaher,,,,
148,kearney,,,,
149,nothing,nothing,Old English,,Old English
150,power,,,,
151,thought,thought,Old English,German,Old English;German
152,yes,yes,Old English,American English,Old English;American English
153,heard,heard,Old English,,Old English
154,home,home,Old English,Germanic,Old English;Germanic;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Greek;Slavonic
155,julia,julia,Latin,,Latin
156,tell,tell,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;French;Italian;Spanish
157,through,through,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Latin;Old Irish;Welsh;American English
158,told,told,Old English,,Old English
159,always,always,Old English,,Old English
160,away,away,Old English,American English,Old English;American English
161,henchy,,,,
162,jane,jane,Old French,Latin,Old French;Latin
163,more,more,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Old Irish;Welsh;Greek
164,put,put,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;Old Norse
165,round,,,,
166,used,,,,
167,corley,,,,
168,m,,,,
169,turned,turn,Old English,Old French,Old English;Old French;Latin;Greek;American English
170,off,off,Old English,,Old English
171,sat,,,,
172,your,your,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
173,along,along,Old English,Germanic,Old English;Germanic
174,light,light,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Latin;Old Irish
175,such,such,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
176,friends,,,,
177,hands,,,,
178,money,money,Old French,Latin,Old French;Latin;American English;English
179,saw,saw,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;German;Latin;Russian
180,these,these,Old English,,Old English
181,browne,,,,
182,just,just,Old French,,Old French
183,own,own,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German
184,much,much,Old English,Germanic,Old English;Germanic
185,must,must,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Dutch
186,people,people,Old French,Latin,Old French;Latin;Spanish;Italian;English;Arabic
187,together,together,Old English,Germanic,Old English;Germanic;German
188,why,why,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Greek
189,boy,boy,Old French,Latin,Old French;Latin;Greek;Italian;Slavonic;Dutch;Middle Dutch;German;Old English
190,going,,,,
191,dark,,,,
192,day,day,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;Old Frisian;German;Old Norse;Latin;Sanskrit
193,o'connor,,,,
194,once,once,Old English,German,Old English;German
195,take,take,Old English,Old Norse,Old English;Old Norse;Germanic;German;Middle Dutch;Dutch
196,three,three,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin;Slavonic;Irish;Welsh;French
197,woman,woman,Old English,Dutch,Old English;Dutch
198,because,because,French,,French
199,course,course,Old French,Latin,Old French;Latin
200,end,end,Old English,Germanic,Old English;Germanic;Old Frisian;Old Dutch;Old Norse;German
201,evening,evening,Old English,,Old English
202,last,last,Old English,Old Frisian,Old English;Old Frisian;Dutch;German
203,under,under,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Sanskrit;Latin
204,walked,,,,
205,another,another,Old English,,Old English
206,brought,,,,
207,fire,fire,Old English,American English,Old English;American English
208,let,let,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin
209,many,many,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Slavonic;Old Irish;Welsh
210,chandler,chandler,Old French,Latin,Old French;Latin
211,its,its,English,,English
212,left,,,,
213,maria,maria,Latin,,Latin
214,mind,mind,Old English,Germanic,Old English;Germanic;Old Norse;German;Sanskrit;Greek;Latin;Slavonic;Russian;American English
215,called,call,Old English,Old Norse,Old English;Old Norse;Germanic;Dutch;German;Sanskrit;Latin;Slavonic;Welsh;French
216,make,make,Old English,Germanic,Old English;Germanic
217,against,,,,
218,air,,,,
219,poor,poor,Latin,,Latin
220,re,re,Latin,English,Latin;English
221,wife,wife,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
222,dublin,dublin,Irish,,Irish
223,friend,friend,Old English,,Old English
224,got,,,,
225,holohan,,,,
226,look,look,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German
227,malins,,,,
228,moment,moment,Old French,Latin,Old French;Latin;Spanish;Italian;English
229,mother,,,,
230,passed,passe,French,,French
231,d,,,,
232,gone,,,,
233,hat,hat,Old English,Germanic,Old English;Germanic;Old Norse;Latin
234,ignatius,ignatius,Latin,,Latin
235,saying,saying,French,English,French;English
236,will,will,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Welsh
237,found,,,,
238,name,name,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Middle Dutch;Dutch;Old Norse;Sanskrit;Greek;Latin;Slavonic;Russian;Old Irish
239,slowly,slowly,Old English,,Old English
240,sure,sure,Old French,Latin,Old French;Latin;English
241,children,,,,
242,daughter,daughter,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic;Greek;Latin
243,joe,,,,
244,might,might,Old English,,Old English
245,office,office,Old French,Latin,Old French;Latin
246,white,white,Old English,,Old English
247,ever,ever,Old English,Germanic,Old English;Germanic
248,god,god,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Slavonic;Sanskrit;Greek;Latin
249,hall,hall,Old English,Germanic,Old English;Germanic;Old Saxon;German;Dutch;Old Norse
250,than,than,Old English,Germanic,Old English;Germanic;Dutch;German
251,years,,,,
252,freddy,,,,
253,girl,girl,Old English,German,Old English;German;Greek
254,part,part,Old French,Latin,Old French;Latin;Greek;Sanskrit;American English;Old English
255,window,window,Old Norse,Old English,Old Norse;Old English;Germanic;Latin;German
256,world,world,Old English,,Old English
257,better,better,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Old Norse;German
258,even,even,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse
259,has,,,,
260,heart,heart,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German;Greek;Latin;Old Irish;Welsh;Russian;Slavonic
261,lay,lay,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
262,seen,seen,Old English,,Old English
263,spoke,spoke,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German
264,can,can,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
265,corner,corner,American English,English,American English;English
266,glass,,,,
267,ladies,,,,
268,m'coy,,,,
269,morning,morning,Old English,,Old English
270,perhaps,perhaps,English,,English
271,those,those,Old English,,Old English
272,without,without,Old English,,Old English
273,behind,behind,Old English,,Old English
274,cold,,,,
275,fellow,fellow,Old English,Old Norse,Old English;Old Norse;American English;Latin;Russian
276,gave,,,,
277,gentlemen,,,,
278,laughed,,,,
279,lenehan,,,,
280,music,music,Old French,Latin,Old French;Latin;Spanish;Italian;German;Dutch;Greek
281,side,side,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;German
282,small,,,,
283,answered,answer,Old English,,Old English
284,between,between,Old English,,Old English
285,body,body,Old English,German,Old English;German;Germanic;Latin;French
286,hear,hear,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German
287,thing,thing,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse;French;Spanish;Latin
288,tried,,,,
289,being,,,,
290,city,city,Old French,Latin,Old French;Latin;Italian;Spanish;Old English;American English
291,each,each,Old English,Germanic,Old English;Germanic;Dutch;Old Frisian;German;Latin
292,four,four,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Sanskrit;Persian;Greek;Latin;Slavonic;Old Irish;Welsh;French
293,full,full,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse
294,often,often,English,,English
295,alleyne,,,,
296,also,also,Old English,German,Old English;German;Dutch
297,business,business,Old English,American English,Old English;American English
298,done,done,Old English,,Old English
299,everyone,,,,
300,give,give,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse
301,looking,loo,French,,French
302,nice,nice,Old French,Latin,Old French;Latin
303,standing,,,,
304,words,,,,
305,black,black,Old English,,Old English
306,boys,,,,
307,find,,,,
308,held,held,Old English,,Old English
309,open,open,English,,English
310,opened,open,English,,English
311,quickly,quickly,Old English,,Old English
312,silence,,,,
313,beside,beside,Old English,,Old English
314,continued,continue,Old French,Latin,Old French;Latin
315,d'arcy,,,,
316,herself,herself,Old English,,Old English
317,ivors,,,,
318,jimmy,,,,
319,near,near,Old English,Old Norse,Old English;Old Norse
320,ran,ran,Old English,,Old English
321,school,school,Old English,Latin,Old English;Latin;Greek;Old French;Spanish;Italian;German;Welsh;Russian
322,should,should,Old English,,Old English
323,sir,,,,
324,stairs,,,,
325,anything,anything,Old English,Latin,Old English;Latin
326,big,big,Old English,,Old English
327,farrington,,,,
328,husband,,,,
329,minutes,minutes,Latin,,Latin
330,mouth,mouth,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Latin
331,others,,,,
332,silent,silent,Latin,,Latin
333,until,until,Old Norse,Germanic,Old Norse;Germanic;Old English;Old Frisian;Old Saxon;German
334,bad,bad,Old English,American English,Old English;American English;Greek;Russian;Slavonic;German
335,child,child,Old English,Germanic,Old English;Germanic;French;Latin
336,coming,,,,
337,enough,enough,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Latin;Sanskrit
338,fine,fine,Old French,Latin,Old French;Latin
339,glanced,,,,
340,gretta,,,,
341,hynes,,,,
342,same,same,Old English,Old Norse,Old English;Old Norse;Germanic;Old Saxon;German;Dutch;Sanskrit;Greek;Latin;Old Irish;Slavonic
343,set,set,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Dutch;German
344,shook,,,,
345,shop,,,,
346,wo,,,,
347,word,word,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Latin
348,work,work,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;Old Norse;Middle Dutch;German
349,across,across,French,,French
350,brown,,,,
351,feel,,,,
352,followed,follow,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse
353,hair,hair,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;German;Old Frisian;Dutch;Old French
354,irish,irish,Old English,Old Norse,Old English;Old Norse;Old Irish;American English
355,mahony,,,,
356,may,may,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Greek;Slavonic;Sanskrit
357,met,,,,
358,nearly,,,,
359,piano,piano,French,Italian,French;Italian
360,play,play,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin
361,quite,quite,English,,English
362,talk,,,,
363,wanted,,,,
364,ask,ask,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Slavonic
365,church,,,,
366,country,country,Old French,Latin,Old French;Latin;Old English;American English
367,dead,dead,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse
368,girls,,,,
369,keep,keep,Old English,Germanic,Old English;Germanic;Latin
370,lady,lady,Old English,,Old English
371,late,late,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;Old Saxon;German;Latin;Greek
372,leave,leave,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Greek;Slavonic;Sanskrit
373,live,live,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Greek;Dutch
374,mean,mean,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;German;Slavonic;Old Irish;Welsh
375,new,new,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Persian;Greek;Slavonic;Russian;Latin;Old Irish;Welsh
376,read,,,,
377,really,,,,
378,road,road,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German
379,talking,,,,
380,things,,,,
381,though,though,Old English,Old Norse,Old English;Old Norse;Germanic;Old Frisian;Middle Dutch;Dutch;German
382,bed,bed,Old English,,Old English
383,bottle,,,,
384,car,car,French,Latin,French;Latin;Old Irish;Welsh;Italian;Spanish
385,caught,caught,English,French,English;French
386,company,company,Old French,Latin,Old French;Latin
387,drank,drank,Old English,,Old English
388,far,far,Old English,Old Saxon,Old English;Old Saxon;Old Frisian;Old Norse;Dutch;German;Germanic
389,gentleman,,,,
390,jack,jack,English,German,English;German
391,large,large,Old French,Latin,Old French;Latin
392,noise,noise,Old French,Latin,Old French;Latin
393,person,person,Old French,Latin,Old French;Latin;Greek
394,sent,,,,
395,short,short,Old English,,Old English
396,soon,soon,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;American English
397,stout,,,,
398,times,,,,
399,wore,,,,
400,year,year,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Old Frisian;Dutch;Greek;Slavonic;Latin
401,yet,yet,Old English,Old Frisian,Old English;Old Frisian;German;Germanic
402,certain,certain,Old French,Latin,Old French;Latin;Italian;Spanish
403,cried,,,,
404,fell,fell,Old English,Old French,Old English;Old French;Latin
405,good-night,,,,
406,grey,,,,
407,having,ha,Old English,Greek,Old English;Greek;Latin;Old French
408,kept,,,,
409,laughing,,,,
410,taken,,,,
411,turn,turn,Old English,Old French,Old English;Old French;Latin;Greek;American English
412,walking,,,,
413,want,want,Old Norse,Germanic,Old Norse;Germanic
414,answer,answer,Old English,,Old English
415,arm,arm,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Old Frisian;Sanskrit;Greek;Latin
416,arms,arms,English,,English
417,bottles,,,,
418,closed,,,,
419,does,does,Old English,,Old English
420,dress,,,,
421,drink,drink,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Irish;Slavonic;Russian
422,hour,hour,Old French,Latin,Old French;Latin;Greek;Old English;German
423,point,point,Old French,,Old French
424,red,red,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin;Greek;Sanskrit;Slavonic;Polish;Russian;Old Irish;Welsh;American English
425,remember,remember,Old French,Latin,Old French;Latin;English
426,sitting,,,,
427,smiling,,,,
428,sometimes,,,,
429,soul,,,,
430,ve,,,,
431,above,above,Old English,Germanic,Old English;Germanic;Old Saxon;German
432,ah,ah,Old English,Old French,Old English;Old French
433,best,best,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;American English
434,blue,,,,
435,call,call,Old English,Old Norse,Old English;Old Norse;Germanic;Dutch;German;Sanskrit;Latin;Slavonic;Welsh;French
436,case,case,American English,English,American English;English
437,concert,concert,French,Italian,French;Italian;Latin;English
438,crofton,,,,
439,crowd,,,,
440,feet,,,,
441,five,five,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;Old Norse;German;Sanskrit;Greek;Latin;Slavonic;American English
442,floor,floor,English,,English
