word,word count,root word,root language,second language,ranked languages
respectively,4,,,,
responded,4,respond,Old French,Latin,Old French;Latin
response,4,response,Old French,Latin,Old French;Latin
resting,4,res,Latin,,Latin
resumed,4,resume,French,Latin,French;Latin
retrospective,4,,,,
rhododendrons,4,rhododendron,French,Latin,French;Latin;Greek
richmond,4,,,,
rid,4,rid,Old Norse,Germanic,Old Norse;Germanic;German;Old Frisian;Old English
ride,4,ride,American English,English,American English;English
rises,4,rise,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;German
rite,4,rite,Latin,Greek,Latin;Greek;Old English;French
rivers,4,river,Old French,Latin,Old French;Latin;Spanish;Italian;Old English
roar,4,roar,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;German;Sanskrit;Slavonic;Latin
robber,4,robber,Old French,,Old French
robbing,4,rob,Old French,Germanic,Old French;Germanic;German;Old English
rogue,4,rogue,English,Latin,English;Latin
rome,4,rome,Old English,Old French,Old English;Old French;Latin;Sanskrit
rosary,4,rosary,Latin,French,Latin;French
roundtown,4,,,,
rover,4,rover,Middle Dutch,Dutch,Middle Dutch;Dutch;Old English
ruined,4,,,,
rump,4,rump,Middle Dutch,Dutch,Middle Dutch;Dutch;German;English
runaway,4,,,,
rusty,4,rusty,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;German
sable,4,,,,
safety,4,safety,Old French,Latin,Old French;Latin
sailors,4,sailor,Old English,,Old English
saints,4,,,,
sargent,4,,,,
satiny,4,,,,
savage,4,,,,
scanned,4,,,,
scattered,4,scatter,English,Norse,English;Norse
scholars,4,scholar,Old English,Latin,Old English;Latin;Greek;Old French;German
schoolboy,4,,,,
scratch,4,scratch,American English,English,American English;English
scribbled,4,scribble,Latin,,Latin
secondhand,4,,,,
security,4,security,Latin,,Latin
sensation,4,sensation,French,Latin,French;Latin
sensitive,4,sensitive,Old French,Latin,Old French;Latin
sentry,4,,,,
sentrybox,4,,,,
serene,4,serene,Latin,Greek,Latin;Greek;English
serious,4,serious,French,Latin,French;Latin;Old English;German
settle,4,settle,Old English,German,Old English;German;Old Norse
sex,4,sex,Latin,,Latin
shaky,4,,,,
sham,4,,,,
shapes,4,shape,Old English,American English,Old English;American English
shelf,4,shelf,German,Old English,German;Old English;Germanic;Old Norse
shield,4,shield,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Middle Dutch;Dutch;German
shirtsleeves,4,,,,
shoe,4,shoe,Old English,,Old English
shortly,4,shortly,Old English,,Old English
shouts,4,,,,
shower,4,,,,
shreds,4,shred,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German
shrewd,4,,,,
significance,4,significance,Old French,Latin,Old French;Latin
single,4,,,,
singular,4,singular,Old French,Latin,Old French;Latin;English
sinned,4,sin,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Latin
skin-the-goat,4,,,,
skirts,4,skirt,Old Norse,German,Old Norse;German
slanted,4,,,,
slaves,4,,,,
sleepy,4,sleepy,Old English,German,Old English;German
sliding,4,,,,
slipping,4,,,,
slit,4,slit,Old English,,Old English
smaller,4,,,,
smelling,4,smell,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;German
smiles,4,smile,German,Germanic,German;Germanic;Old English;Latin
smothered,4,smother,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;German
snout,4,snout,German,Middle Dutch,German;Middle Dutch;Dutch;Germanic;Old English;Old Norse
snuffling,4,snuff,Dutch,,Dutch
sock,4,sock,American English,English,American English;English
socks,4,sock,American English,English,American English;English
socrates,4,,,,
sofa,4,sofa,Turkish,Arabic,Turkish;Arabic
solar,4,solar,Latin,Old English,Latin;Old English
solemnly,4,solemn,Old French,Latin,Old French;Latin;English
somnolent,4,somnolent,Old French,Latin,Old French;Latin
songs,4,song,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;German;Middle Dutch;Dutch;Old French
spare,4,spare,Old English,Old Norse,Old English;Old Norse
spat,4,spat,American English,English,American English;English
spear,4,spear,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Dutch;German;Latin
speck,4,speck,Old English,Dutch,Old English;Dutch;Middle Dutch
spectacle,4,spectacle,Old French,Latin,Old French;Latin
spent,4,,,,
spinning,4,,,,
spinoza,4,,,,
spit,4,spit,Old English,,Old English
splendour,4,splendour,English,,English
sport,4,sport,Old French,American English,Old French;American English;English
spur,4,spur,Old English,,Old English
squad,4,squad,French,Spanish,French;Spanish;Italian;Latin
squat,4,,,,
stable,4,stable,Old French,,Old French
steadfast,4,steadfast,Old English,German,Old English;German;Old Norse
steal,4,steal,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German
sticky,4,sticky,Old English,,Old English
stink,4,,,,
stir,4,stir,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German
stool,4,stool,Old English,Germanic,Old English;Germanic;Old Frisian;Old Norse;German;Slavonic;French
stooped,4,stoop,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch
strawberries,4,strawberry,Old English,Germanic,Old English;Germanic;German
striped,4,stripe,Middle Dutch,Dutch,Middle Dutch;Dutch;German;Germanic;Old Irish;American English;English
stripped,4,strip,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German
strongly,4,strongly,Old English,,Old English
stubble,4,stubble,Old French,Latin,Old French;Latin
studies,4,study,Old French,Latin,Old French;Latin
stump,4,stump,American English,English,American English;English
suffer,4,suffer,Old French,Latin,Old French;Latin;Old English
sufficient,4,sufficient,Old French,Latin,Old French;Latin
sunk,4,,,,
sunny,4,sunny,Dutch,German,Dutch;German
supple,4,supple,Old French,Latin,Old French;Latin
supply,4,,,,
suspect,4,,,,
swear,4,swear,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Slavonic
sweating,4,sweat,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Greek;Latin;Welsh;Polish;Russian;Slavonic
swelling,4,swelling,Old English,,Old English
swerved,4,,,,
swinging,4,,,,
switch,4,,,,
symmetry,4,symmetry,French,Latin,French;Latin;Greek
sympathetic,4,sympathetic,Latin,Greek,Latin;Greek;English
tailor,4,tailor,Old French,Latin,Old French;Latin;Sanskrit;Greek
tankard,4,tankard,Middle Dutch,Dutch,Middle Dutch;Dutch;Latin;French
tankards,4,tankard,Middle Dutch,Dutch,Middle Dutch;Dutch;Latin;French
teach,4,teach,Old English,Germanic,Old English;Germanic;German
teas,4,tea,English,Dutch,English;Dutch;French;Spanish;German;Russian;Persian;Greek;Arabic;Turkish
telescope,4,,,,
tempting,4,,,,
tennis,4,tennis,Old French,Greek,Old French;Greek
tepid,4,tepid,Latin,Sanskrit,Latin;Sanskrit;Slavonic;Old Irish;Welsh
thanked,4,thank,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Middle Dutch;Dutch
thereto,4,thereto,Old English,Old Saxon,Old English;Old Saxon;German
thigh,4,thigh,Old English,Germanic,Old English;Germanic;Old Frisian;Old Dutch;Old Norse;German;Slavonic;Russian;Greek;Old Irish;Latin;Welsh
thighs,4,thigh,Old English,Germanic,Old English;Germanic;Old Frisian;Old Dutch;Old Norse;German;Slavonic;Russian;Greek;Old Irish;Latin;Welsh
thither,4,thither,Old English,Germanic,Old English;Germanic;Old Norse;Sanskrit
thoroughfare,4,,,,
thoroughly,4,thorough,Old English,,Old English
throwaway,4,,,,
throwing,4,,,,
thumbnail,4,,,,
thump,4,,,,
