word,word count,root word,root language,second language,ranked languages
farm,2,farm,French,,French
fathers,2,,,,
favored,2,,,,
favors,2,favor,Old French,,Old French
feat,2,feat,Old French,Latin,Old French;Latin
feathered,2,feather,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;German
felled,2,,,,
fellers,2,,,,
feminine,2,feminine,Old French,Latin,Old French;Latin
fence,2,,,,
fettered,2,fetter,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse
fifty-five,2,,,,
fifty-pound,2,,,,
fifty-six,2,,,,
fifty-two,2,,,,
filbert,2,filbert,French,German,French;German
files,2,file,French,,French
filly,2,filly,Old Norse,,Old Norse
film,2,,,,
filmy,2,,,,
filthy,2,,,,
finance,2,,,,
finder,2,,,,
fines,2,fine,Old French,Latin,Old French;Latin
fire-proof,2,,,,
firmest,2,firm,Old French,Latin,Old French;Latin
fishing,2,fishing,Old English,,Old English
fittingly,2,,,,
fix,2,fix,Old French,Latin,Old French;Latin
flake,2,,,,
flames,2,flame,English,Old French,English;Old French;Latin
flapping,2,,,,
flashing,2,,,,
flattened,2,,,,
flavor,2,,,,
flavored,2,,,,
flocks,2,flock,Germanic,Old French,Germanic;Old French;Latin
flooded,2,,,,
flooring,2,,,,
flourished,2,,,,
floyd,2,,,,
fluttering,2,flutter,Old English,,Old English
foam,2,foam,Old English,Germanic,Old English;Germanic;German;Sanskrit;Latin;Slavonic
folly—so,2,,,,
fooling,2,,,,
footing,2,,,,
forbear,2,forbear,Old English,German,Old English;German
forbid,2,forbid,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse
forbidding,2,,,,
forenoon,2,,,,
forgave,2,,,,
forgetting,2,forget,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German
formidable,2,formidable,French,Latin,French;Latin
forming,2,for,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
forsaken,2,,,,
foul,2,foul,Old English,,Old English
four-story,2,,,,
fox,2,fox,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Welsh;Spanish
fraction,2,fraction,Old French,Latin,Old French;Latin;Sanskrit;Old English;Old Irish
fragrant,2,fragrant,Latin,Old Irish,Latin;Old Irish;German;Middle Dutch;Dutch
frame-work,2,,,,
franchises,2,franchise,Old French,,Old French
franklin,2,franklin,English,Old French,English;Old French;Germanic
fraternal,2,fraternal,Old French,Latin,Old French;Latin
frenchman,2,,,,
frenzied,2,,,,
frenzy,2,,,,
fried,2,,,,
friendliest,2,,,,
friendliness,2,friend,Old English,,Old English
frivolous,2,frivolous,Latin,,Latin
frothed,2,froth,Old English,Old Norse,Old English;Old Norse;Germanic
frown,2,,,,
fruits,2,fruit,Old French,Latin,Old French;Latin;Spanish;Italian;German;English
frying,2,fry,Old French,Latin,Old French;Latin;Sanskrit;Persian;Greek
frying-pan,2,,,,
fulfil,2,,,,
fumbles,2,,,,
furlough,2,,,,
furs,2,fur,Old French,Germanic,Old French;Germanic;Old Frisian;German;English
furthest,2,,,,
gads,2,gad,Old English,,Old English
gag,2,gag,Old Norse,,Old Norse
gal,2,,,,
gala,2,gala,Old French,Italian,Old French;Italian;Arabic
gale,2,gale,Old Norse,Old English,Old Norse;Old English
gallantly,2,,,,
galleries,2,gallery,French,Latin,French;Latin
gallop,2,,,,
gallows,2,gallows,Old Norse,Old English,Old Norse;Old English;Germanic;Old Frisian;German
galoot,2,galoot,Spanish,,Spanish
gangs,2,,,,
gaped,2,gape,Old English,Old Norse,Old English;Old Norse;Germanic;Middle Dutch;Dutch;German
gaps,2,gap,Old Norse,,Old Norse
garbled,2,garble,French,Latin,French;Latin;Italian;Arabic;Spanish
gasp,2,,,,
gatherings,2,gathering,Old English,,Old English
gathers,2,gather,Old English,Germanic,Old English;Germanic;German;Old Frisian;Dutch
gaunt,2,gaunt,Old Norse,Old French,Old Norse;Old French;English
gay,2,gay,Old French,Italian,Old French;Italian;German;American English;English;Dutch
generation,2,generation,Old French,Latin,Old French;Latin
genius,2,genius,Latin,,Latin
gentlemanly,2,,,,
genuineness,2,,,,
germans,2,german,Germanic,Latin,Germanic;Latin;Old Irish;English;Dutch;German
gild,2,gild,Old English,Germanic,Old English;Germanic;Old Norse;German
gladly,2,gladly,Old English,,Old English
gladness,2,gladness,Old English,,Old English
glasses,2,,,,
gliding,2,glide,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German
glitters,2,glitter,Old Norse,Germanic,Old Norse;Germanic;Old English;German;Greek
globe,2,globe,French,Latin,French;Latin
gloved,2,,,,
glow,2,glow,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
glowering,2,glower,Germanic,Old English,Germanic;Old English;Middle Dutch;Dutch
gnawing,2,gnaw,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;German
goddesses,2,,,,
golconda,2,,,,
good-bye,2,,,,
goods,2,goods,Old English,,Old English
gorge,2,gorge,Old French,,Old French
gorgeously,2,,,,
gorges,2,gorge,Old French,,Old French
