word,word count,root word,root language,second language,ranked languages
began,238,,,,
ivanovna,230,,,,
ve,229,,,,
cried,226,,,,
way,224,way,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;Old Norse;Old Frisian;German
nothing,223,nothing,Old English,,Old English
face,222,,,,
such,220,such,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
eyes,217,eye,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Greek;Slavonic;Latin
ll,216,,,,
away,214,away,Old English,American English,Old English;American English
over,208,over,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German
came,207,,,,
door,207,door,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Greek;Latin;Sanskrit;Russian
two,204,two,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German;Sanskrit;Greek;Latin;Slavonic
made,198,made,Old English,American English,Old English;American English
tell,198,tell,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;French;Italian;Spanish
svidrigaďlov,197,,,,
without,194,without,Old English,,Old English
almost,187,almost,Old English,,Old English
should,187,should,Old English,,Old English
after,184,after,Old English,Old Norse,Old English;Old Norse;German;Greek
porfiry,184,,,,
looking,183,loo,French,,French
get,180,get,Old Norse,Germanic,Old Norse;Germanic;Greek;Latin;Welsh;Slavonic;Old English;Dutch
where,180,where,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Latin
let,179,let,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin
mother,177,,,,
off,176,off,Old English,,Old English
asked,175,ask,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Slavonic
back,175,back,English,,English
good,174,good,Old English,,Old English
moment,173,moment,Old French,Latin,Old French;Latin;Spanish;Italian;English
their,172,their,Old Norse,Old English,Old Norse;Old English
first,171,first,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Old Frisian;Middle Dutch;Dutch
old,171,old,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Greek;Latin;Old Irish;French
head,170,head,Old English,,Old English
katerina,169,,,,
right,168,right,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh
stood,168,,,,
think,167,think,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Old Norse
another,166,another,Old English,,Old English
perhaps,166,perhaps,English,,English
turned,166,turn,Old English,Old French,Old English;Old French;Latin;Greek;American English
other,165,other,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin
make,164,make,Old English,Germanic,Old English;Germanic
take,164,take,Old English,Old Norse,Old English;Old Norse;Germanic;German;Middle Dutch;Dutch
us,164,us,Old English,Old Saxon,Old English;Old Saxon;Old Frisian;Old Norse;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Old Irish;Welsh;Germanic
going,161,,,,
put,160,put,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;Old Norse
want,160,want,Old Norse,Germanic,Old Norse;Germanic
look,159,look,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German
day,158,day,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;Old Frisian;German;Old Norse;Latin;Sanskrit
woman,158,woman,Old English,Dutch,Old English;Dutch
long,157,long,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Old Norse;Middle Dutch;Dutch;Latin;Sanskrit;Greek;American English
may,156,may,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Greek;Slavonic;Sanskrit
quite,156,quite,English,,English
seemed,155,seem,Old Norse,Germanic,Old Norse;Germanic;Old English
took,153,took,Old English,,Old English
understand,151,understand,Old English,Sanskrit,Old English;Sanskrit;Latin;Greek;Old Frisian;Germanic;German
felt,149,,,,
shall,149,shall,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
hand,148,hand,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse
much,147,much,Old English,Germanic,Old English;Germanic
than,144,than,Old English,Germanic,Old English;Germanic;Dutch;German
pyotr,142,,,,
money,141,money,Old French,Latin,Old French;Latin;American English;English
same,141,same,Old English,Old Norse,Old English;Old Norse;Germanic;Old Saxon;German;Dutch;Sanskrit;Greek;Latin;Old Irish;Slavonic
own,139,own,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German
oh,138,oh,Old French,Latin,Old French;Latin;Greek;Slavonic;Dutch;German;Old Irish;Sanskrit;Old English
everything,135,,,,
heard,134,heard,Old English,,Old English
