word,word count,root word,root language,second language,ranked languages
breaking,1,break,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Italian
breathed,1,breathe,Old English,,Old English
breeches,1,breeches,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German;Latin;French
breeze,1,,,,
breviary,1,breviary,Latin,,Latin
brewers,1,,,,
brick,1,brick,Old French,Germanic,Old French;Germanic;Middle Dutch;Dutch;English
bricklayer,1,,,,
bridges,1,bridge,Old English,,Old English
brightened,1,brighten,Old English,,Old English
brimming,1,,,,
brings,1,bring,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Latin
brisk,1,brisk,French,,French
briskly,1,brisk,French,,French
bristled,1,bristle,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German;Sanskrit
britain,1,britain,Old French,Latin,Old French;Latin;Old English
broader,1,broad,Old English,Germanic,Old English;Germanic;Old Frisian;Old Norse;Dutch;German
bronchitic,1,,,,
brooch,1,brooch,Old French,,Old French
brood,1,,,,
brooded,1,,,,
brown-clad,1,,,,
brunt,1,brunt,Old Norse,,Old Norse
brush,1,,,,
buck,1,,,,
buckingham,1,,,,
buckle,1,,,,
buckled,1,,,,
buff,1,,,,
buffer,1,,,,
bulb,1,bulb,French,Latin,French;Latin;Greek
bull,1,bull,English,Old French,English;Old French
bulldog,1,,,,
bumper,1,bumper,American English,English,American English;English
bumpkins,1,bumpkin,Middle Dutch,Dutch,Middle Dutch;Dutch
bumptious——,1,,,,
bunch,1,,,,
bunches,1,,,,
bundled,1,,,,
buns,1,bun,Old French,Germanic,Old French;Germanic;German;Spanish
bunser,1,,,,
burly,1,burly,Old English,German,Old English;German
burning,1,burning,Old English,French,Old English;French;German
burns,1,burn,Old English,,Old English
bursting,1,burst,English,,English
bushes,1,,,,
bushy,1,,,,
businesslike,1,,,,
bustling,1,,,,
busy,1,busy,Old English,,Old English
butter,1,butter,Old English,Germanic,Old English;Germanic;Old Frisian;German;Dutch;Latin;Italian;Old French;Greek
buttonholed,1,,,,
buttoning,1,button,Old French,Spanish,Old French;Spanish;Italian;Germanic
buyers,1,,,,
by-street,1,,,,
byrne,1,,,,
byron,1,,,,
bystander,1,,,,
cadence,1,cadence,French,Latin,French;Latin
cadet,1,cadet,French,Latin,French;Latin;English
cafe,1,cafe,French,Italian,French;Italian
cafes,1,cafe,French,Italian,French;Italian
cake,1,cake,Old Norse,Germanic,Old Norse;Germanic;Middle Dutch;Dutch;German;Latin;Old English;French
cake-shop,1,,,,
cakeshop,1,,,,
calculate,1,calculate,Latin,Old French,Latin;Old French
callan,1,,,,
calmed,1,calm,Old French,,Old French
