ranked languages,root language,second language,word,word count
"Latin,Greek,Old French,French",Latin,Greek,hat,97
French,French,,might,97
"Latin,Old French,French,Greek",Latin,Old French,than,97
"French,Old French",French,Old French,course,95
"Latin,Old French,Greek,French,Sanskrit",Latin,Old French,fellow,95
,,,being,93
"English,Welsh,German,Old Norse,Old French,French,Old Irish,Irish,Greek,Latin,Norse,Sanskrit,Old English,American English,Germanic",English,Welsh,new,93
"Latin,Sanskrit,Norse,Old French,Old Norse,German,French,Greek",Latin,Sanskrit,am,92
,,,does,92
French,French,,miss,91
"Old French,French",Old French,French,much,91
"Old French,Latin,Greek,French,Norse,Sanskrit",Old French,Latin,take,91
"French,Old French",French,Old French,want,91
"Greek,Old French,French",Greek,Old French,love,90
French,French,,martin,90
,,,men,90
,,,told,90
French,French,,behind,88
"Old French,Sanskrit,Greek,French,Latin",Old French,Sanskrit,till,88
French,French,,white,88
,,,looked,87
French,French,,towards,87
"German,Old Norse,Old French,Germanic,French,Latin,Greek,Norse,Sanskrit",German,Old Norse,best,86
,,,lenehan,86
"Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",Sanskrit,German,wife,86
"Greek,Norse,Old French,French,Latin,Sanskrit",Greek,Norse,hear,85
,,,heard,85
"German,Sanskrit,Norse,Latin,French,Old French,Greek,Old Norse",German,Sanskrit,left,84
French,French,,place,84
,,,dark,83
"Old French,French",Old French,French,ever,83
,,,gave,83
"Old French,French",Old French,French,once,82
,,,air,81
"Old French,French",Old French,French,along,81
"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",German,Old Norse,dead,81
French,French,,water,81
,,,looking,80
"Sanskrit,Old Norse,Old French,French,Greek,Latin,Norse",Sanskrit,Old Norse,own,80
"French,Old French",French,Old French,wait,80
,,,—the,80
,,,—what,80
French,French,,big,79
French,French,,morning,79
"German,American English,Norse,Old Norse,Old French,French,Germanic,Greek,Latin,Sanskrit,English",German,American English,world,79
"Sanskrit,Norse,Old French,French,Latin,Greek",Sanskrit,Norse,better,78
French,French,,between,78
French,French,,black,78
French,French,,bloody,78
French,French,,every,78
French,French,,open,78
,,,years,78
"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse,Germanic",Latin,German,bit,77
"French,Greek,Old French",French,Greek,citizen,77
,,,power,77
,,,coming,76
,,,d,76
"Germanic,Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",Germanic,Sanskrit,mouth,76
"Old French,French",Old French,French,near,76
,,,without,76
,,,hands,75
,,,though,75
,,,half,74
,,,re,74
,,,dublin,73
,,,—yes,73
,,,words,72
"Old Norse,German,Norse,Old French,French,Greek,Latin,Sanskrit",Old Norse,German,great,71
,,,lord,71
"French,Old French",French,Old French,suppose,71
French,French,,another,70
"German,Latin,Sanskrit,Old French,French,Greek,Norse,Old Norse",German,Latin,hair,70
,,,having,70
,,,high,70
,,,mother,70
"English,Germanic,Sanskrit,German,Old French,French,Irish,Greek,Latin,Old Norse,Norse,Old English,American English,Welsh",English,Germanic,son,70
"Old Norse,Norse,Sanskrit,Old French,French,Greek,Latin,German",Old Norse,Norse,while,70
,,,against,69
"English,Old Norse,Norse,Old French,Sanskrit,Greek,French,Germanic,Latin,German",English,Old Norse,call,69
,,,stood,69
"English,Old English,Germanic,Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse,American English",English,Old English,eye,68
"Sanskrit,Old Norse,Old French,French,Greek,Latin,Norse",Sanskrit,Old Norse,most,68
French,French,,these,68
,,,cried,67
"Sanskrit,Norse,Old French,French,Greek,Latin",Sanskrit,Norse,full,67
,,,read,67
"Old French,French",Old French,French,thought,67
,,,cunningham,66
,,,paper,66
,,,passed,66
"German,Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",German,Old Norse,word,66
,,,feel,65
"Greek,Old French,French",Greek,Old French,kind,65
"French,Old French,Latin,Greek",French,Old French,money,65
"Germanic,Old Norse,German,Old French,French,Greek,Latin,Norse,Sanskrit",Germanic,Old Norse,sea,65
,,,walked,65
,,,both,64
,,,four,64
"German,Greek,Old Norse,Old French,French,Germanic,Latin,Norse,Sanskrit",German,Greek,light,64
,,,past,64
,,,things,64
"German,Germanic,Sanskrit,Old Norse,Old French,French,American English,English,Greek,Latin,Norse,Old English,Welsh",German,Germanic,heart,63
,,,knew,62
,,,lips,62
"English,Germanic,American English,Greek,German,Old French,Old Frisian,French,Old Saxon,Old Irish,Latin,Sanskrit,Old Norse,Norse,Irish,Old English,Welsh",English,Germanic,red,62
"French,Old French,Greek",French,Old French,sure,62
"Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin",Old Norse,Norse,wonder,62
,,,ned,61
"Latin,Old Norse,Old French,French,Greek,Norse,Sanskrit",Latin,Old Norse,side,61
"Old French,French",Old French,French,anything,60
French,French,,bed,60
French,French,,ben,60
"Old French,French",Old French,French,corner,60
French,French,,each,60
"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Latin,German,such,60
,,,—that,60
,,,conmee,59
"Latin,Norse,Old Norse,French,Old French,Greek,Sanskrit",Latin,Norse,far,59
,,,gentleman,58
,,,irish,58
"French,Old French",French,Old French,second,58
"Old French,French",Old French,French,upon,58
,,,—and,58
"Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",Old Norse,Norse,even,57
"French,Old French",French,Old French,professor,57
,,,—o,57
"Germanic,German,Latin,Old Norse,Old French,French,Greek,Norse,Sanskrit,English",Germanic,German,home,56
,,,alf,55
"Old French,French,Greek",Old French,French,also,55
,,,answered,55
,,,haines,55
"French,Old French,Sanskrit,Greek,Latin",French,Old French,moment,55
