word,word count,root word,root language,second language,ranked languages
leaves,8,leave,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Greek;Slavonic;Sanskrit
led,8,,,,
length,8,length,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch
letter,8,letter,Old French,Latin,Old French;Latin;Greek;Old English;German;Germanic
liberality,8,liberality,Old French,Latin,Old French;Latin
limit,8,limit,Old French,Latin,Old French;Latin
lines,8,,,,
majesty,8,majesty,Old French,Latin,Old French;Latin;English
matthias,8,matthias,Latin,Greek,Latin;Greek
meditation,8,meditation,Old French,Latin,Old French;Latin;Greek;Sanskrit;Welsh;Old English
mentall,8,,,,
messenger,8,messenger,Old French,,Old French
metaphoricall,8,,,,
militia,8,militia,Latin,French,Latin;French
minds,8,mind,Old English,Germanic,Old English;Germanic;Old Norse;German;Sanskrit;Greek;Latin;Slavonic;Russian;American English
monarchs,8,monarch,French,Latin,French;Latin;Greek
neglect,8,neglect,Latin,,Latin
nerves,8,,,,
observing,8,observe,Old French,Latin,Old French;Latin
offer,8,offer,Old French,,Old French
officer,8,officer,Old French,Latin,Old French;Latin
open,8,open,English,,English
openly,8,openly,Old English,,Old English
parties,8,party,Old French,American English,Old French;American English;English
personated,8,,,,
phantasme,8,,,,
pharaoh,8,pharaoh,Old English,Latin,Old English;Latin;Greek
plea,8,plea,Old French,Latin,Old French;Latin
pleas,8,plea,Old French,Latin,Old French;Latin
pleasures,8,,,,
politicall,8,,,,
possessions,8,possession,Old French,Latin,Old French;Latin
possibility,8,possibility,Old French,Latin,Old French;Latin
powred,8,,,,
preachers,8,preacher,Old French,Latin,Old French;Latin;American English;English
presumed,8,presume,Old French,Latin,Old French;Latin
principally,8,,,,
priviledges,8,,,,
proof,8,proof,Old French,Latin,Old French;Latin
providence,8,providence,Old French,Latin,Old French;Latin
publican,8,publican,Old French,Latin,Old French;Latin
raise,8,raise,American English,English,American English;English
rarely,8,,,,
reasonably,8,,,,
receiving,8,receive,Old French,Latin,Old French;Latin
resolution,8,resolution,Old French,Latin,Old French;Latin
revealed,8,,,,
revolt,8,revolt,French,Italian,French;Italian
rite,8,rite,Latin,Greek,Latin;Greek;Old English;French
rod,8,rod,Old English,Old Norse,Old English;Old Norse;Germanic
sabbath,8,sabbath,Old English,Latin,Old English;Latin;Greek;Spanish;Italian;French;German
sacerdotall,8,,,,
samaria,8,samaria,Greek,,Greek
scribes,8,scribe,Latin,,Latin
shal,8,,,,
shame,8,shame,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Greek
shewed,8,,,,
sick,8,sick,Old English,,Old English
signs,8,sign,Old French,Latin,Old French;Latin
sought,8,sought,Old English,,Old English
soveraigntie,8,,,,
sown,8,,,,
stile,8,stile,Old English,Germanic,Old English;Germanic
suffered,8,suffer,Old French,Latin,Old French;Latin;Old English
supper,8,supper,Old French,Germanic,Old French;Germanic
