word,word count,root word,root language,second language,ranked languages
exercised,8,exercise,Old French,Latin,Old French;Latin;English
female,8,female,Old French,Latin,Old French;Latin
founded,8,,,,
guide,8,guide,Old French,,Old French
guilty,8,guilty,Old English,,Old English
house,8,house,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German
injured,8,injure,French,Latin,French;Latin
last,8,last,Old English,Old Frisian,Old English;Old Frisian;Dutch;German
male,8,male,Old French,Latin,Old French;Latin;Spanish;Italian
monarchies,8,monarchy,Old French,Latin,Old French;Latin;Greek
needs,8,needs,Old English,,Old English
non,8,non,Latin,,Latin
obliged,8,,,,
offence,8,,,,
offences,8,,,,
ones,8,one,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Greek;Latin;Slavonic;Old Irish;French
open,8,open,English,,English
owe,8,owe,Old English,Germanic,Old English;Germanic;Old Frisian;Old Norse;German;Sanskrit;Latin
privilege,8,privilege,Old English,Latin,Old English;Latin;Old French
privileges,8,privilege,Old English,Latin,Old English;Latin;Old French
procreation,8,procreation,Old French,Latin,Old French;Latin
prove,8,prove,Old French,Latin,Old French;Latin;Spanish;Italian;Old English
reaches,8,,,,
receive,8,receive,Old French,Latin,Old French;Latin
redress,8,redress,Old French,,Old French
relief,8,relief,French,Italian,French;Italian;Latin
remains,8,remain,Old French,Latin,Old French;Latin;Spanish;Italian
reverence,8,,,,
seems,8,seem,Old Norse,Germanic,Old Norse;Germanic;Old English
sir,8,,,,
sure,8,sure,Old French,Latin,Old French;Latin;English
thousand,8,thousand,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Slavonic;Polish;Russian;Greek;Latin
tie,8,tie,Old English,Germanic,Old English;Germanic;Old Norse;American English
ties,8,,,,
truly,8,truly,Old English,Dutch,Old English;Dutch;German
turn,8,turn,Old English,Old French,Old English;Old French;Latin;Greek;American English
usurpation,8,usurpation,Old French,Latin,Old French;Latin
ut,8,,,,
voluntary,8,voluntary,Latin,,Latin
word,8,word,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Latin
worse,8,worse,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German
wrong,8,wrong,Old English,Old Norse,Old English;Old Norse;Germanic;Middle Dutch;Dutch;Latin;Italian;French;American English
account,7,account,Old French,,Old French
acre,7,acre,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin;Greek;Sanskrit
agree,7,agree,Old French,Latin,Old French;Latin
alter,7,alter,Old French,Latin,Old French;Latin
altered,7,alter,Old French,Latin,Old French;Latin
barclay,7,,,,
bare,7,bare,Old English,,Old English
becomes,7,become,Old English,Germanic,Old English;Germanic;Dutch;German
begun,7,,,,
besides,7,,,,
bread,7,,,,
captain,7,,,,
cease,7,cease,Old French,,Old French
consist,7,consist,French,Latin,French;Latin
creature,7,creature,Old French,Latin,Old French;Latin
crime,7,crime,Old French,Latin,Old French;Latin;Old English;American English
damages,7,damage,Old French,Latin,Old French;Latin
day,7,day,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;Old Frisian;German;Old Norse;Latin;Sanskrit
de,7,de,Latin,,Latin
direction,7,direction,Latin,,Latin
disorder,7,,,,
dissolution,7,dissolution,Old French,Latin,Old French;Latin
down,7,down,Old English,American English,Old English;American English
evil,7,evil,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin;American English
