ranked languages,root language,second language,word,word count
"American English,Old Norse,German,Greek,Norse,Old French,French,English,Latin,Sanskrit,Germanic",American English,Old Norse,one,208
"German,Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse",German,Latin,what,200
"German,Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse,Germanic",German,Latin,we,193
"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Latin,German,which,193
,,,there,191
"Norse,Old Norse,Sanskrit,Latin,Greek,Old French,French,German",Norse,Old Norse,is,189
,,,an,184
"Norse,Old French,French,Latin,Greek,Sanskrit",Norse,Old French,then,180
"English,American English,Germanic,German,Old Norse,Old French,French,Welsh,Old English,Latin,Greek,Norse,Sanskrit,Irish",English,American English,me,177
,,,my,176
"Old Norse,Greek,Norse,Old French,German,French,Latin,Sanskrit",Old Norse,Greek,have,175
"Germanic,Old Norse,Norse,Old French,French,Greek,German,Sanskrit,Latin",Germanic,Old Norse,so,171
"French,Old French",French,Old French,them,167
,,,no,165
,,,gabriel,157
"Old French,French",Old French,French,did,152
French,French,,could,151
"Sanskrit,Norse,French,Old French,Latin,Greek",Sanskrit,Norse,or,151
"German,Old Norse,Norse,Old French,French,Old English,American English,Greek,Latin,Sanskrit,English,Germanic",German,Old Norse,who,149
"French,Old French",French,Old French,their,146
"Old French,French",Old French,French,into,145
,,,been,144
"English,Old Norse,German,Norse,Sanskrit,Old French,French,Germanic,Greek,Latin",English,Old Norse,old,144
"Norse,Old French,French,Greek,Latin,Sanskrit",Norse,Old French,do,143
"Old French,French",Old French,French,down,136
"Latin,Norse,Old French,French,Greek,Sanskrit,Old Norse",Latin,Norse,if,136
"Norse,Sanskrit,Old French,Old Norse,French,Greek,Latin",Norse,Sanskrit,some,136
"French,Old French,Norse,Latin,Old Norse,German,Sanskrit,English,Germanic,Greek",French,Old French,very,132
"Norse,Old Norse,Sanskrit,Old French,French,Greek,Latin",Norse,Old Norse,like,130
"German,Germanic,Old Norse,Greek,Norse,Old French,French,American English,Sanskrit,Latin,English",German,Germanic,now,129
"Old French,French",Old French,French,about,128
,,,asked,127
"French,Greek,Old French,Latin,Germanic,English,Old Norse,American English,Sanskrit,German,Norse",French,Greek,aunt,127
"Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",Sanskrit,German,this,124
,,,mrs,117
"Germanic,English,German,Sanskrit,Old Norse,Old French,French,Greek,Latin,Norse,American English",Germanic,English,two,116
"Latin,Old French,Greek,French",Latin,Old French,after,114
"Old French,Latin,French,Greek",Old French,Latin,again,114
French,French,,time,114
"American English,German,Latin,Old Norse,Old French,French,English,Greek,Sanskrit,Norse,Germanic",American English,German,well,113
,,,went,113
"English,Germanic,Sanskrit,German,Old French,French,Irish,Welsh,Greek,Latin,Old Norse,Norse,Old English,American English",English,Germanic,young,111
"Germanic,Old Norse,Norse,German,Greek,Old French,French,Sanskrit,Latin",Germanic,Old Norse,know,110
,,,face,109
"Sanskrit,Norse,Old French,French,Greek,Latin",Sanskrit,Norse,over,108
French,French,,good,102
,,,came,101
,,,before,100
,,,began,100
French,French,,miss,99
,,,eyes,96
"American English,Germanic,German,Old Norse,Old French,English,French,Greek,Latin,Norse,Sanskrit",American English,Germanic,go,95
,,,o,93
French,French,,back,92
French,French,,head,90
"Old French,French",Old French,French,made,90
"Old Norse,Greek,Sanskrit,Old French,French,German,Latin,Norse,English,Germanic",Old Norse,Greek,room,86
"English,Old French,German,Greek,French,Sanskrit,Latin,Old Norse,Norse,Germanic,American English",English,Old French,street,84
"Germanic,English,German,Latin,Old French,French,Greek,Sanskrit,Old Norse,Norse",Germanic,English,see,82
"Greek,Sanskrit,Old French,French,Latin",Greek,Sanskrit,life,79
,,,stood,79
"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,how,78
"English,American English,Germanic,German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",English,American English,come,77
French,French,,himself,76
"Greek,Norse,Old French,French,Latin,Sanskrit",Greek,Norse,house,76
,,,ll,76
"Old French,French",Old French,French,too,76
,,,kate,75
"German,Germanic,Old Norse,Latin,Norse,Welsh,French,Old English,American English,Old French,Greek,Sanskrit,English",German,Germanic,us,75
"German,Germanic,American English,Old Norse,Latin,Old French,French,Irish,English,Greek,Sanskrit,Norse,Welsh,Old English",German,Germanic,night,74
"Germanic,English,German,Old Norse,Old French,French,Old English,American English,Latin,Greek,Norse,Sanskrit",Germanic,English,right,74
"Germanic,Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Germanic,Latin,where,74
,,,kernan,73
"Latin,German,Old French,American English,French,English,Greek,Sanskrit,Old Norse,Norse,Germanic",Latin,German,say,73
"Old Norse,Norse,Sanskrit,Old French,French,Greek,Latin,German",Old Norse,Norse,while,73
"English,Germanic,Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",English,Germanic,other,72
,,,men,71
"Greek,Sanskrit,Norse,French,Latin,Old French",Greek,Sanskrit,never,70
,,,voice,70
"Latin,Greek,Old French,French",Latin,Greek,only,69
,,,seemed,69
"Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",Old Norse,Norse,hand,68
"Norse,Sanskrit,Old French,French,Latin,Greek",Norse,Sanskrit,think,68
"Old French,French",Old French,French,are,66
"German,Old Norse,Germanic,Norse,Sanskrit,Old French,French,Greek,Latin,English",German,Old Norse,few,65
"Old Norse,German,Norse,Old French,French,Greek,Latin,Sanskrit",Old Norse,German,great,65
,,,looked,64
,,,mary,64
,,,first,63
,,,here,63
,,,took,63
"Old French,French",Old French,French,upon,63
,,,table,62
"Greek,Latin,French,Old French,Old Norse,Sanskrit,German,Norse",Greek,Latin,get,61
"American English,Germanic,English,Norse,Sanskrit,Old French,Old English,French,Latin,Greek,German,Old Norse",American English,Germanic,long,61
French,French,,something,61
"Latin,Old French,French,Greek,Norse,Sanskrit",Latin,Old French,still,61
"Sanskrit,Old Norse,Old French,French,Greek,Norse,Latin",Sanskrit,Old Norse,way,60
French,French,,towards,59
,,,cunningham,58
,,,felt,58
"Norse,Sanskrit,Old French,French,Greek,Latin",Norse,Sanskrit,our,58
"Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse",Latin,Old Norse,any,57
French,French,,every,57
,,,knew,57
"Old Norse,German,Germanic,Latin,Norse,Old French,French,Greek,Sanskrit,English",Old Norse,German,door,56
,,,father,56
,,,gallaher,56
,,,kearney,56
French,French,,nothing,56
,,,power,56
"Old French,French",Old French,French,thought,56
"Old French,French",Old French,French,yes,56
,,,heard,55
"Germanic,German,Latin,Old Norse,Old French,French,Greek,Norse,Sanskrit,English",Germanic,German,home,54
,,,julia,54
"Germanic,Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse,American English,English",Germanic,Latin,tell,54
,,,through,54
,,,told,54
French,French,,always,53
"Old French,French",Old French,French,away,53
,,,henchy,53
,,,jane,53
"American English,Latin,German,Old French,French,English,Germanic,Greek,Sanskrit,Old Norse,Norse",American English,Latin,more,53
"Sanskrit,Old French,French,Latin,Greek",Sanskrit,Old French,put,53
,,,round,53
,,,used,53
,,,corley,52
,,,m,52
,,,turned,52
French,French,,off,51
,,,sat,51
,,,your,51
"Old French,French",Old French,French,along,50
"German,Greek,Old Norse,Old French,French,Germanic,Latin,Norse,Sanskrit",German,Greek,light,50
"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Latin,German,such,50
,,,friends,49
,,,hands,49
"French,Old French,Latin,Greek",French,Old French,money,49
